epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,417.156,1.11718,0.58028,0.89165,0.91202,0.89798,0.91688,0.45891,1.28552,0.60384,0.95615,0.00168716,0.00168716,0.00168716
160,420.111,1.10559,0.56588,0.89609,0.91421,0.90226,0.91843,0.46477,1.28933,0.59716,0.95646,0.00168518,0.00168518,0.00168518
161,422.76,1.15328,0.58331,0.91725,0.912,0.89375,0.90648,0.46348,1.21518,0.58385,0.94997,0.0016832,0.0016832,0.0016832
162,425.209,1.12844,0.58176,0.90311,0.91337,0.89712,0.91274,0.49769,1.19852,0.57476,0.94114,0.00168122,0.00168122,0.00168122
163,427.73,1.11903,0.56405,0.88733,0.92288,0.88528,0.91445,0.50337,1.2624,0.58287,0.95087,0.00167924,0.00167924,0.00167924
164,430.177,1.10815,0.5743,0.9044,0.92701,0.88961,0.92295,0.5226,1.18502,0.56957,0.93837,0.00167726,0.00167726,0.00167726
165,432.783,1.08516,0.5636,0.90119,0.92474,0.89306,0.91857,0.50039,1.2411,0.57968,0.94953,0.00167528,0.00167528,0.00167528
166,435.225,1.08051,0.56027,0.89663,0.93145,0.90149,0.9336,0.52274,1.20602,0.57144,0.94175,0.0016733,0.0016733,0.0016733
167,437.904,1.09317,0.56056,0.90763,0.90989,0.88808,0.90435,0.45213,1.26214,0.59275,0.95735,0.00167132,0.00167132,0.00167132
168,440.346,1.06947,0.55325,0.901,0.90508,0.8844,0.90138,0.44567,1.24058,0.58928,0.95199,0.00166934,0.00166934,0.00166934
169,442.755,1.09256,0.57529,0.90852,0.92233,0.91033,0.92405,0.487,1.18491,0.56912,0.94066,0.00166736,0.00166736,0.00166736
170,445.105,1.02804,0.54461,0.89904,0.90707,0.89076,0.90616,0.44619,1.24622,0.58601,0.95819,0.00166538,0.00166538,0.00166538
171,447.557,1.07426,0.55907,0.90345,0.91689,0.88616,0.91443,0.49558,1.21928,0.57175,0.95343,0.0016634,0.0016634,0.0016634
172,450.099,1.09579,0.55078,0.88355,0.92167,0.89292,0.92237,0.49346,1.2894,0.58256,0.9646,0.00166142,0.00166142,0.00166142
173,452.514,1.0689,0.5554,0.89964,0.91333,0.88455,0.90596,0.47942,1.23511,0.59116,0.95097,0.00165944,0.00165944,0.00165944
174,454.96,1.07217,0.56358,0.90726,0.91241,0.8946,0.9141,0.49671,1.22105,0.59091,0.9462,0.00165746,0.00165746,0.00165746
175,457.704,1.08094,0.56823,0.89573,0.91525,0.89881,0.92079,0.49638,1.291,0.59825,0.95652,0.00165548,0.00165548,0.00165548
176,460.2,1.07356,0.55582,0.91249,0.90964,0.89766,0.917,0.49296,1.26069,0.58249,0.95522,0.0016535,0.0016535,0.0016535
